#separator:Comma
#html:true
#guid column:1
#notetype:Cloze
#deck column:4
#tags column:5
#columns:GUID,Text,Back Extra,Deck,Tags
CCS21-224e29a7,The definition rule's sub-rule (f) excludes persons{{c1::locally recruited for service abroad / foreign local recruits}}.,<b>Rule:</b> Foreign local recruits are excluded.<br><br><b>Hinglish:</b> Videsh me locally bharti — bahar.<br><br><b>Ref:</b> Rule 2(f),CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_f Exclusion CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_f
CCS21-00fea845,"The definition rule's sub-rule (g) excludes persons engaged on{{c1::contract}}, UNLESS{{c2::the contract provides otherwise}}.","<b>Rule:</b> Contract staff are out — but a contract clause can pull them in; this is the ONLY definition exclusion with an in-built exception.<br><br><b>Hinglish:</b> Contract wale bahar, LEKIN contract me likha ho to andar — yahi ek exception hai.<br><br><b>Trap:</b> 'UNLESS contract provides otherwise' attaches ONLY to clause.<br><br><b>Ref:</b> Rule 2(g); Rule 2",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_g Exclusion Exception CCS_Pension::Rule_02 Priority::Critical CCS_Pension::Rule_02_g
CCS21-054d6cf4,The definition rule's sub-rule (h) excludes persons whose pension is regulated by the{{c1::Constitution or any other law}}.,"<b>Rule:</b> Catch-all for separately-governed functionaries (e.g., constitutional posts with own pension law).<br><br><b>Hinglish:</b> Jinki pension Constitution/kisi aur kanoon se chalti hai — ve bahar.<br><br><b>Ref:</b> Rule 2(h)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_h Exclusion CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_h
CCS21-4ea432b3,The definition rule's Explanation 2 deals with persons under a{{c1::different pension scheme / State Government / Autonomous Body}}.,"<b>Rule:</b> Persons already governed elsewhere (other scheme, State, autonomous body) are not double-covered automatically.<br><br><b>Hinglish:</b> Jo pehle se kahin aur covered hai, ve auto-cover nahi honge.<br><br><b>Ref:</b> Rule 2 Expl.2; Rule 2",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_Exp2 Explanation CCS_Pension::Rule_02 Priority::Medium CCS_Pension::Rule_02_Exp2
CCS21-b8f83868,The definition rule's Explanation 3 is the{{c1::special/general order (catch-all)}}Explanation.,<b>Rule:</b> Government may extend/clarify coverage by special or general order.<br><br><b>Hinglish:</b> Sarkar order nikaal kar coverage tay kar sakti hai — catch-all.<br><br><b>Ref:</b> Rule 2 Expl.3; Rule 2,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_Exp3 Explanation CCS_Pension::Rule_02 Priority::Medium CCS_Pension::Rule_02_Exp3
CCS21-27c413fd,The definition rule's Explanation 4 links{{c1::temporary status}}service to the temporary-status rule{{c2::temporary-status}}at{{c3::family-pension per cent}}counting.,<b>Rule:</b> Temporary-status (regularised casual labour) service counts 50% under the temporary-status rule.<br><br><b>Hinglish:</b> Temporary-status wala aadha service paayega — the temporary-status rule.<br><br><b>Ref:</b> Rule 2 Expl.4; Rule 15; Rule 2; Rule 50,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_Exp4 Rule_15 Qualifying_Service CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_Exp4
CCS21-3add0032,"On NPS death/invalidation, {{c1::invalid pension + family pension}} is payable IF {{c2::option exercised under the NPS Implementation Rules}} OR {{c3::default favours these rules}}.","<b>Rule:</b> Post-2003 NPS servants get invalid/family-pension benefits on NPS option or favourable default. Secondary: default = old-scheme if death &lt;15y service (press summary of NPS Rules — VERIFY full text); gratuity OM 7/5/2012; UPS death gratuity from 18.06.2025.<br><br><b>Hinglish:</b> NPS-vikalp-ya-chook — pension-sahara.<br><br><b>Ref:</b> Rule 2 Expl (5); NPS Implementation Rules, Rule 10; Rule 39; Rule 50",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_Exp5 NPS Family_Pension CCS_Pension::Rule_02 Priority::High CCS_Pension::Rule_02_Exp5
CCS21-922b868f,The definition rule's Explanation 6 covers retirement in a{{c1::temporary capacity}}under the CCS (Temporary Service) the civil-return rule{{c2::civil-return}}.,<b>Rule:</b> Temporary-capacity retirees are dealt with under the 1965 Temporary Service Rules linkage.<br><br><b>Hinglish:</b> Temporary capacity me retire — 1965 Rules wala rasta.<br><br><b>Ref:</b> Rule 2 Expl.6; Rule 19; Rule 2,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_02_Exp6 Explanation CCS_Pension::Rule_02 Priority::Medium CCS_Pension::Rule_02_Exp6
CCS21-6102fffa,The interpretation rule's sub-rule (1)(a):{{c1::Accounts Officer}}means the officer who maintains the{{c2::accounts / authorises pension}}of the Government servant.,"<b>Rule:</b> AO = authority maintaining accounts and authorising pension/family pension/gratuity (audits Form 7/11, issues PPO).<br><br><b>Hinglish:</b> Accounts Officer = hisaab rakhne + PPO nikaalne wala adhikari.<br><br><b>Ref:</b> Rule 3(1)(a); Rule 3(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_a Definition CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_a
CCS21-bad7a8cb,The interpretation rule's sub-rule (1)(b):{{c1::Allottee}}means the Government servant to whom{{c2::Government accommodation}}is allotted.,<b>Rule:</b> Allottee status drives Rules dues/withholding/death-dues dues machinery and NDC before gratuity release.<br><br><b>Hinglish:</b> Sarkari makaan mila = allottee; NDC bina gratuity ka 10% atakta hai.<br><br><b>Ref:</b> Rule 3(1)(b); Rule 3(1); Rule 67; Rule 68; Rule 77,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_b Definition CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_b
CCS21-e2dc22cb,The interpretation rule's sub-rule (1)(c):{{c1::Average emoluments}}means average of emoluments of the{{c2::last 10 months}}(the average-emoluments rule).,"<b>Rule:</b> 10-month average; pension uses emoluments OR average, whichever more beneficial (the average-emoluments rule vs 44).<br><br><b>Hinglish:</b> Aakhri 10 mahine ka average — jo bada (emoluments ya average) wahi pension ka base.<br><br><b>Ref:</b> Rule 3(1)(c); Rule 32; Rule 3(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_c Definition Average_Emoluments CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_c
CCS21-10108765,The interpretation rule's sub-rule (1)(d):{{c1::Bhavishya}}is the{{c2::online pension processing}}system.,<b>Rule:</b> Default pension-case platform with e-HRMS under the Bhavishya rule (e-HRMS superannuation only; others Bhavishya).<br><br><b>Hinglish:</b> Bhavishya = pension ka online portal; e-HRMS sirf superannuation ke liye.<br><br><b>Ref:</b> Rule 3(1)(d); Rule 53; Rule 3(1),CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_d Definition CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_d
CCS21-5c20f47c,The interpretation rule's sub-rule (1)(e):{{c1::Child}}— state the definition and its pension significance.,"<b>Rule:</b> Child includes categories eligible under the family-pension rule's sub-rule (son &lt;25 unmarried not earning; daughter unmarried/widowed/divorced not earning; disabled child no age bar) — birth order + twins + divorce-filing rules attach.<br><br><b>Hinglish:</b> Baccha = beta &lt;25, beti (unmarried/widow/divorced), disabled (umar ki seema nahi).<br><br><b>Ref:</b> Rule 3(1)(e); Rule 50(9); Rule 3(1); Rule 3(9)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_e Definition Family_Pension CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_e
CCS21-ab493619,"The interpretation rule's sub-rule (1)(f):{{c1::Dearness Relief}}is relief on{{c2::pension/family pension}}to neutralise{{c3::price rise}}, granted under the DR rule{{c4::DR}}('may be granted').","<b>Rule:</b> DR is NOT part of pension/family pension definitions (the interpretation rule's sub-rule (t)(i)); current 60% w.e.f. 01.01.2026 — VOLATILE.<br><br><b>Hinglish:</b> DR = mehangaai raahat, pension ka hissa NAHI; abhi 60% — badalta rehta hai.<br><br><b>Last verified:</b> 2026-09-20<br><br><b>Ref:</b> Rule 3(1)(f); Rule 52; Rule 3(1); Rules 3(t), 3(i)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_f Definition Dearness_Relief CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_f
CCS21-82fac554,The interpretation rule's sub-rule (1)(g):{{c1::Defence Service}}≠{{c2::Armed Forces}}— state the distinction.,<b>Rule:</b> Defence Service is the defined service category; do not casually equate with Armed Forces of the Union (exam trap).<br><br><b>Hinglish:</b> Defence Service aur Armed Forces ek nahi — shabdon ka jaal hai.<br><br><b>Ref:</b> Rule 3(1)(g); Rule 3(1),CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_g Definition Exam_Trap CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_g
CCS21-348e0ea2,The interpretation rule's sub-rule (1)(h):{{c1::Emoluments}}means{{c2::basic pay per}}(+ NPA for medical officers; stagnation increment counts).,"<b>Rule:</b> emoluments timing: pay at retirement/death; +DA only for gratuity computation under the gratuity rule's sub-rule.<br><br><b>Hinglish:</b> Emoluments = basic pay (+NPA); gratuity me DA judta hai, pension me nahi.<br><br><b>Ref:</b> Rule 3(1)(h); Rule 31; Rule 3(1); FR 9(21)(a)(i); Rule 45(6); Rule 3(6)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_h Definition Emoluments CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_h
CCS21-6cae1485,"The interpretation rule's sub-rule (1)(i):{{c1::Family Pension}}means pension payable to{{c2::family}}under the family-pension rule{{c3::family-pension}}, and it{{c4::excludes Dearness Relief}}.","<b>Rule:</b> Like Pension, the definition excludes DR (DR is granted separately under the DR rule).<br><br><b>Hinglish:</b> Family pension = parivaar ko family-pension me; DR isme shamil NAHI.<br><br><b>Ref:</b> Rule 3(1)(i); Rule 50; Rule 3(1); Rule 52",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_i Definition Family_Pension CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_i
CCS21-45d870aa,"The interpretation rule's sub-rule (1)(j):{{c1::Foreign Service}}means service in which a Government servant receives pay from{{c2::other than Central revenues}}(e.g., PSU/autonomous body/State/foreign).","<b>Rule:</b> Drives absorption machinery (deemed deputation, foreign service terms, no deputation allowance).<br><br><b>Hinglish:</b> Bahar ki naukri jiska paisa Kendra se na aaye = foreign service.<br><br><b>Ref:</b> Rule 3(1)(j); Rule 3(1); Rule 35; Rule 38",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_j Definition Deputation CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_j
CCS21-f6d40e10,The interpretation rule's sub-rule (1)(m):{{c1::Government}}means the{{c2::Central Government}}unless context otherwise requires.,"<b>Rule:</b> Default Government = Central Government (State contexts flagged expressly, e.g., the State-transfer rule).<br><br><b>Hinglish:</b> 'Government' bole to Kendra Sarkar — Rajya ka zikr alag se hota hai.<br><br><b>Ref:</b> Rule 3(1)(m); Rule 3(1); Rule 13",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_m Definition CCS_Pension::Rule_03 Priority::Medium CCS_Pension::Rule_03_1_m
CCS21-5555443d,The interpretation rule's sub-rule (1)(n):{{c1::Government dues}}— which two Explanation baskets exist under the dues rule?,"<b>Rule:</b> accommodation dues (licence fee arrears, damages, electricity/water/PNG) other dues (advances, overpayments, income tax). HoO ascertains/assesses; adjusted from gratuity.<br><br><b>Hinglish:</b> Sarkari makaan ke + baaki (advance/overpayment/tax) — HoO vasoolta hai gratuity se.<br><br><b>Ref:</b> Rule 3(1)(n); Rule 67; Rule 3(1); Rule 3(a); Rule 3(b)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_n Definition Government_Dues CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_n
CCS21-b63fdefc,The interpretation rule's sub-rule (1)(r):{{c1::Local Fund administered by Government}}— why does it matter?,<b>Rule:</b> Service paid from a Govt-administered Local Fund can still be qualifying service (the paid-service rule Explanation) — funding source test.<br><br><b>Hinglish:</b> Local Fund se salary mile tab bhi service gin sakti hai — paid-service dekho.<br><br><b>Ref:</b> Rule 3(1)(r); Rule 12; Rule 3(1),CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_r Definition CCS_Pension::Rule_03 Priority::Medium CCS_Pension::Rule_03_1_r
CCS21-2a0f66e7,The interpretation rule's sub-rule (1)(s):{{c1::Minor}}means a person below{{c2::18 years}}— pension relevance?,<b>Rule:</b> Minor nominees/claimants act through guardians (gratuity-nomination alternate nominee; family-pension guardian; pensioner-death remarriage guardianship).<br><br><b>Hinglish:</b> 18 se kam = minor; guardian ke through kaam hota hai.<br><br><b>Ref:</b> Rule 3(1)(s); Rule 3(1); Rule 46; Rule 50(9); Rule 79(4),CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_s Definition CCS_Pension::Rule_03 Priority::Medium CCS_Pension::Rule_03_1_s
CCS21-9032cfda,The interpretation rule's sub-rule (1)(t):{{c1::Pension}}{{c2::excludes}}Dearness Relief — and{{c1::Family Pension}}also{{c2::excludes}}DR. Why tested together?,"<b>Rule:</b> BOTH definitions exclude DR; DR is granted separately under the DR rule ('may be granted'). Classic exam trap: Pension vs Family Pension differ in PAYEE (servant vs family), not in DR treatment.<br><br><b>Hinglish:</b> Dono me DR bahar; farq sirf paane wale ka — karmchari ya parivaar.<br><br><b>Ref:</b> Rule 3(1)(t); Rule 3(1)(i); Rule 52; Rule 3(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_t Definition Exam_Trap CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_t
CCS21-7a61a485,The interpretation rule's sub-rule (1)(v):{{c1::Pension Payment Order (PPO)}}is the{{c2::authorisation}}issued by the{{c3::Accounts Officer}}for{{c4::pension/family pension/gratuity}}payment.,"<b>Rule:</b> PPO + Format 9 undertaking → CPAO Special Seal (10 days) → PDA disburses (15 days) — authorisation chain.<br><br><b>Hinglish:</b> PPO = AO ka payment order; uske baad CPAO seal, phir PDA payment.<br><br><b>Ref:</b> Rule 3(1)(v); Rule 80; Rule 3(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_v Definition CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_v
CCS21-ac24b6fb,The interpretation rule's sub-rule (1)(w):{{c1::Qualifying Service}}means service that{{c2::counts for pension}}under Chapter{{c3::III}}.,"<b>Rule:</b> QS thresholds: 1y (family pension gateway), 5y (gratuity), 10y (pension), 18y (verification clock), 20y (VR), 30y (premature).<br><br><b>Hinglish:</b> QS = pension ke kaam ki service; 1-5-10-18-20-30 yaad rakho.<br><br><b>Ref:</b> Rule 3(1)(w); Rules 11-30; Rule 3(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_w Definition Qualifying_Service CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_1_w
CCS21-86a71646,The interpretation rule's sub-rule (1)(x):{{c1::Retirement Benefits}}includes{{c2::pension/family pension/gratuity}}taken together.,"<b>Rule:</b> Umbrella term used in withholding, forfeiture (the PSU-absorption rule's sub-rule (29)), absorption options.<br><br><b>Hinglish:</b> Retirement benefits = pension + gratuity sab kuch ek saath.<br><br><b>Ref:</b> Rule 3(1)(x); Rule 3(1); Rule 37(29)(c); Rule 7; Rule 8; Rule 3(c)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_x Definition CCS_Pension::Rule_03 Priority::Medium CCS_Pension::Rule_03_1_x
CCS21-1d64918f,"The interpretation rule's sub-rule (1)(y):{{c1::Service Book}}— why is it the backbone of Chapters III, X, XI?","<b>Rule:</b> Definite entries prove QS (leave, suspension, condonation, nomination, calendar/record-verification/FP-settlement verification); unverified entries have deemed-verified fallbacks.<br><br><b>Hinglish:</b> Service Book = sabooton ki kitaab; entry nahi to deeming provisions bachati hain.<br><br><b>Ref:</b> Rule 3(1)(y); Rule 3(1); Rule 21; Rule 23; Rule 28; Rule 46; Rule 73; Rule 57; Rule 72",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_y Definition CCS_Pension::Rule_03 Priority::High CCS_Pension::Rule_03_1_y
CCS21-5ee6bf4b,The interpretation rule's sub-rule (1)(z):{{c1::Treasury}}{{c2::includes a Sub-Treasury}}.,<b>Rule:</b> Express inclusive definition — Sub-Treasury is Treasury for payment machinery (the satellite-application rule Treasury Rules).<br><br><b>Hinglish:</b> Treasury bole to Sub-Treasury bhi andar.<br><br><b>Ref:</b> Rule 3(1)(z); Rule 3(1); Rule 84,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_1_z Definition CCS_Pension::Rule_03 Priority::Medium CCS_Pension::Rule_03_1_z
CCS21-648d01c4,"The interpretation rule's sub-rule (2) residual dictionary: undefined words take meaning from the{{c1::Fundamental Rules 1922}}, NOT the{{c2::General Clauses Act}}.",<b>Rule:</b> FR 1922 is the fallback lexicon for these Rules.<br><br><b>Hinglish:</b> Shabd na mile to FR 1922 dekho — GCA nahi.<br><br><b>Trap:</b> GCA is the tempting wrong answer.<br><br><b>Ref:</b> Rule 3(2),CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_03_2 Definition Exam_Trap CCS_Pension::Rule_03 Priority::Critical CCS_Pension::Rule_03_2
CCS21-bfb2fedb,The transfer-election rule's sub-rule (1): transfer cases are regulated with a{{c1::6-month election window}}under the proviso — explain.,"<b>Rule:</b> On transfer to a post under different pension terms, the servant elects within 6 months (proviso); the transfer-election rule's sub-rule –transfer-election give the processing frame.<br><br><b>Hinglish:</b> Transfer par 6 mahine me chunav karo — kaunsi pension-terms chahiye.<br><br><b>Ref:</b> Rule 4(1) proviso; Rule 4(2), 4(3); Rule 4(1); Rule 4(3); Rule 4(2)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_04 Election Timeline CCS_Pension::Rule_04 Priority::High
CCS21-f622f137,The single-pension rule's sub-rule (1): a Government servant shall NOT earn{{c1::two pensions}}in the same service — state the bar.,"<b>Rule:</b> One service = one pension; exceptions only via the civil-return rule or 20 (re-employment counting).<br><br><b>Hinglish:</b> Ek naukri = ek pension; doosri pension sirf Rule civil-return/military-counting se.<br><br><b>Ref:</b> Rule 6(1), 6(2); Rule 6(1); Rule 19; Rule 20",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_06 Proviso CCS_Pension::Rule_06 Priority::High
CCS21-bb5287f3,"The conduct rule's sub-rule (1)(b): pension/gratuity may be withheld for{{c1::serious crime / grave misconduct}}— who decides, and with what consultation?","<b>Rule:</b> The PRESIDENT decides; UPSC consultation required; show-cause notice 15 days + further 15 days on representation (15+15).<br><br><b>Hinglish:</b> Gambhir apradh/ghor durachar me Rashtrapati rok sakte hain — UPSC se poochh kar, 15+15 din ka notice dekar.<br><br><b>Ref:</b> Rule 7(1)(b); Rule 7(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_07 Procedure Timeline CCS_Pension::Rule_07 Priority::Critical
CCS21-47b4a96c,"The proceedings rule's sub-rule (1) as rewritten by G.S.R. 770(E)/2022 vests withholding power in{{c1::(a) President}},{{c2::(b) Secretary of the Administrative Ministry/Department}},{{c3::(c) C&amp;AG}}— mapped by WHAT?","<b>Rule:</b> Mapped by APPOINTING AUTHORITY of the post held at retirement: President's appointees → President; others → Secretary; IA&amp;AD (subordinate appointing authority) → C&amp;AG.<br><br><b>Hinglish:</b> Niyukti adhikari jo, faisla adhikari wahi — President/Secretary/C&amp;AG.<br><br><b>Ref:</b> Rule 8(1)(a)-(c); Rule 8(1)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_1 Amendment CCS_Pension::Rule_08 Priority::Critical CCS_Pension::Rule_08_1
CCS21-5f668564,"The proceedings rule's sub-rule (1) First Proviso requires{{c1::UPSC consultation}}for{{c2::President's}}orders; Second Proviso sets part-withholding floor at{{c3::minimum pension (Rs 9,000)}}.","<b>Rule:</b> UPSC only for President-route orders; part withholding can never sink pension below the floor.<br><br><b>Hinglish:</b> UPSC sirf Rashtrapati-order me; kaat-chaant ke baad bhi Rs 9,000 se kam nahi.<br><br><b>Ref:</b> Rule 8(1) provisos; Rule 8(1); Rule 44",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_1 Proviso Floor CCS_Pension::Rule_08 Priority::Critical CCS_Pension::Rule_08_1
