#separator:Comma
#html:true
#guid column:1
#notetype:Basic
#deck column:4
#tags column:5
#columns:GUID,Front,Back,Deck,Tags
CCS21-699e0f61,WORKED EXAMPLE 11 — No nomination: only father + married daughter survive. Who gets?,<b>Steps:</b> Group 1 EMPTY → Group 2 shares EQUALLY (the gratuity-distribution rule's sub-rule: 'to all such members in equal shares') — father + married daughter take HALF each. CORRECTION: bare text has NO intra-group order; the old 'father first' reading was wrong.<br><br><b>Hinglish:</b> Group1-khaali to Group2-kram-se.<br><br><b>Ref:</b> Rule 47(1)(b); Example 11; Rule 47(1)(b)(ii); Rule 47(1); Rule 47(b); Rule 47(ii),CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_47 Worked_Example CCS_Pension::Rule_47 Priority::High
CCS21-8d5dd509,"WORKED EXAMPLE 12 — Withholding authority: first, President-appointee, (b) HoO-appointee clerk, (c) IA&amp;AD auditor.","<b>Steps:</b> President + UPSC Secretary, no UPSC C&amp;AG, no UPSC (the proceedings rule's sub-rule post-2022).<br><br><b>Hinglish:</b> Bada-Rashtrapati, chhota-Secretary, audit-C&amp;AG.<br><br><b>Ref:</b> Rule 8(1); Example 12; Rule 8(a); Rule 8(b); Rule 8(c)",CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_1 Worked_Example Scenario CCS_Pension::Rule_08 Priority::High CCS_Pension::Rule_08_1
CCS21-fefb0c9e,WORKED EXAMPLE 13 — Appeal routes: President's order vs Secretary's order vs C&amp;AG's order.,<b>Steps:</b> President's → NO appeal; Secretary's/C&amp;AG's → appeal TO President + UPSC (the proceedings rulethe appellate clause).<br><br><b>Hinglish:</b> Rashtrapati-final; baaki-Rashtrapati-appeal+UPSC.<br><br><b>Ref:</b> Rule 8(6A); Example 13; Rule 8,CCS_Pension_Rules_2021::01_Preliminary_Rules_01_to_10,CCS_Pension Rule_08_6A Worked_Example CCS_Pension::Rule_08 Priority::High CCS_Pension::Rule_08_6A
CCS21-8107b3fb,"WORKED EXAMPLE 14 — Compulsory retirement, superannuation pension would be Rs 36,000: band?","<b>Steps:</b> 2/3 × 36,000 = Rs 24,000 floor → Rs 36,000 full (the compulsory-retirement rule's sub-rule ); below-full needs President+UPSC (the compulsory-retirement rule's sub-rule ); never below Rs 9,000 (the compulsory-retirement rule's sub-rule ).<br><br><b>Hinglish:</b> 24-hazar se 36-hazar; katne par Rashtrapati+UPSC.<br><br><b>Ref:</b> Rule 40; Example 14; Rule 40(1); Rule 40(2); Rule 40(5)",CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,CCS_Pension Rule_40 Worked_Example CCS_Pension::Rule_40 Priority::High
CCS21-c5b5e5e5,WORKED EXAMPLE 15 — The compulsory-retirement rule's sub-rule (3)(4): provisional + 3-month window mechanics.,"<b>Steps:</b> Immediate 2/3 provisional on compulsory retirement; final quantum order within 3 months (President+UPSC if &lt; full); arrears/shortfall adjusted; floor guards.<br><br><b>Hinglish:</b> Turant-2/3, 3-mahine-pakka.<br><br><b>Ref:</b> Rule 40(3), (4); Example 15; Rule 40(3); Rule 4; Rule 44",CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43,CCS_Pension Rule_40 Timeline Worked_Example CCS_Pension::Rule_40 Priority::High
CCS21-870b7103,"WORKED EXAMPLE 16 — Bachelor dies in service, no family, no nomination, no succession certificate: gratuity?",<b>Steps:</b> lapse → Government keeps; IF court succession certificate produced → proviso pays the holder. Pension never arises (the lapse rule = gratuity only).<br><br><b>Hinglish:</b> Koi-nahi to Sarkar; court-patra lao to pao.<br><br><b>Ref:</b> Rule 49; Example 16,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_49 Worked_Example CCS_Pension::Rule_49 Priority::High
CCS21-8b366d6f,"WORKED EXAMPLE 17 — Missing servant: pay till 31.03.2025, FIR 10.04.2025. Pension start + gratuity?","<b>Steps:</b> Start = LATEST (FIR 10.04.2025) → day-after; payable after 6-month bar (≈Oct 2025); gratuity only after 7 YEARS or conclusive proof (the missing-persons rule's sub-rule ); interest on admin delay.<br><br><b>Hinglish:</b> FIR-LATEST, 6-mahine-pension, 7-saal-gratuity.<br><br><b>Ref:</b> Rule 51; Example 17; Rule 65; Rule 51(8)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_51 Worked_Example Timeline CCS_Pension::Rule_51 Priority::High
CCS21-db08f489,"WORKED EXAMPLE 18 — Rs 5L gratuity, 8-month admin delay, GPF 7.1%: interest?","<b>Steps:</b> 5,00,000 × 7.1% × 8/12 ≈ Rs 23,667; Secy/JS sanctions (the interest rule's sub-rule ); paid in 2 months (the interest rule's sub-rule ); officers proceeded against (the interest rule's sub-rule ); servant-fault would kill it (interest proviso).<br><br><b>Ref:</b> Rule 65; Example 18; Rule 65(1); Rule 65(2); Rule 65(3); Rule 65(4)",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_65 Interest_On_Delay Worked_Example CCS_Pension::Rule_65 Priority::High
CCS21-34c64dcd,"WORKED EXAMPLE 19 — Death 05.05.2026, family claims 20.05.2026: provisional family-pension timeline?","<b>Steps:</b> Provisional within 15 days of claim (≈04.06.2026, ≤family-pension rate, the death-payment rule's sub-rule ); immediate disbursement (the death-payment rule's sub-rule ); runs 6 months from 06.05.2026 (the death-payment rule's sub-rule ); PPO via the payment rule; 100% gratuity after death forwarding (the death-payment rule's sub-rule ) on gratuity basis.<br><br><b>Hinglish:</b> 15-din-arzi, 6-mahine-daayra, PPO-baad-pakka.<br><br><b>Ref:</b> Rules 75, 76; Example 19; Rule 50(2); Rule 74; Rule 45(1)(b); Rule 75(1); Rule 75(2); Rule 75(3); Rule 76; Rule 75(5)",CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,CCS_Pension Rule_75 Timeline Worked_Example CCS_Pension::Rule_75 Priority::High
CCS21-19fa40f9,"VOLATILE 1 — Gratuity ceiling: quote which figure, with what caveat?","<b>Rule:</b> Quote Rs 25 LAKH operative w.e.f. 01.01.2024 (DoPPW OM 30.05.2024) + note rule-text Rs 20L; civil-employees-only (DoPPW OMs 24.10.2025); re-check OM before exams. ⚠️ VOLATILE.<br><br><b>Hinglish:</b> 25L-lagu, 20L-kitaab — OM-phir-dekho.<br><br><b>Last verified:</b> 2026-09-20<br><br><b>Ref:</b> Rule 45(1) proviso; OMs",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Ceiling Gratuity Priority::Critical
